vax_date,cumul_full_vax,target_date,target_cases
2021-07-01,2429925,2021-08-26,24599
2021-07-02,2500693,2021-08-27,22070
2021-07-03,2580136,2021-08-28,22597
2021-07-04,2661027,2021-08-29,20579
2021-07-05,2782600,2021-08-30,19268
2021-07-06,2921985,2021-08-31,20897
2021-07-07,3098688,2021-09-01,18762
2021-07-08,3259422,2021-09-02,20988
2021-07-09,3389163,2021-09-03,19378
2021-07-10,3506033,2021-09-04,19057
2021-07-11,3609530,2021-09-05,20396
2021-07-12,3772687,2021-09-06,17352
2021-07-13,3944227,2021-09-07,18547
2021-07-14,4108435,2021-09-08,19733
2021-07-15,4269859,2021-09-09,19307
2021-07-16,4404187,2021-09-10,21176
2021-07-17,4537132,2021-09-11,19550
2021-07-18,4641384,2021-09-12,19198
2021-07-19,4796070,2021-09-13,16073
2021-07-20,4899623,2021-09-14,15669
2021-07-21,5070332,2021-09-15,19495
2021-07-22,5247316,2021-09-16,18815
2021-07-23,5412028,2021-09-17,17577
2021-07-24,5549747,2021-09-18,15549
2021-07-25,5674926,2021-09-19,14954
2021-07-26,5870734,2021-09-20,14345
2021-07-27,6076790,2021-09-21,15759
2021-07-28,6284196,2021-09-22,14990
2021-07-29,6502983,2021-09-23,13754
2021-07-30,6706230,2021-09-24,14554
2021-07-31,6913982,2021-09-25,13899
2021-08-01,7099714,2021-09-26,13104
2021-08-02,7352137,2021-09-27,10959
2021-08-03,7603169,2021-09-28,11332
2021-08-04,7876863,2021-09-29,12434
2021-08-05,8180050,2021-09-30,12735
2021-08-06,8446205,2021-10-01,11889
2021-08-07,8693683,2021-10-02,10915
2021-08-08,8933520,2021-10-03,9066
2021-08-09,9218576,2021-10-04,8075
2021-08-10,9420600,2021-10-05,8817
2021-08-11,9695648,2021-10-06,9380
2021-08-12,10029979,2021-10-07,9890
2021-08-13,10341599,2021-10-08,9751
2021-08-14,10631612,2021-10-09,8743
2021-08-15,10913671,2021-10-10,7373
2021-08-16,11249387,2021-10-11,6709
2021-08-17,11600040,2021-10-12,7276
2021-08-18,11965339,2021-10-13,7950
2021-08-19,12317858,2021-10-14,8084
2021-08-20,12659869,2021-10-15,7420
2021-08-21,12986184,2021-10-16,7509
2021-08-22,13301146,2021-10-17,6145
2021-08-23,13557733,2021-10-18,5434
2021-08-24,13834676,2021-10-19,5745
2021-08-25,14110400,2021-10-20,5516
2021-08-26,14377956,2021-10-21,6210
2021-08-27,14596434,2021-10-22,6630
2021-08-28,14807243,2021-10-23,5828
2021-08-29,14985535,2021-10-24,5666
2021-08-30,15181767,2021-10-25,4782
2021-08-31,15340315,2021-10-26,5726
2021-09-01,15569929,2021-10-27,6148
2021-09-02,15777914,2021-10-28,6377
2021-09-03,15980524,2021-10-29,6060
2021-09-04,16169039,2021-10-30,5854
2021-09-05,16340276,2021-10-31,4979
2021-09-06,16540713,2021-11-01,4626
2021-09-07,16748487,2021-11-02,5071
2021-09-08,16961944,2021-11-03,5291
2021-09-09,17170218,2021-11-04,5713
2021-09-10,17368421,2021-11-05,4922
2021-09-11,17558727,2021-11-06,4701
2021-09-12,17725368,2021-11-07,4343
2021-09-13,17898999,2021-11-08,4543
2021-09-14,18089043,2021-11-09,5403
2021-09-15,18288765,2021-11-10,6243
2021-09-16,18443469,2021-11-11,6323
2021-09-17,18626073,2021-11-12,6517
2021-09-18,18802527,2021-11-13,5809
2021-09-19,18975125,2021-11-14,5162
2021-09-20,19186694,2021-11-15,5143
2021-09-21,19335280,2021-11-16,5413
2021-09-22,19550213,2021-11-17,6288
2021-09-23,19759414,2021-11-18,6380
2021-09-24,19928462,2021-11-19,6355
2021-09-25,20086998,2021-11-20,5859
2021-09-26,20249734,2021-11-21,4854
2021-09-27,20411983,2021-11-22,4885
2021-09-28,20582762,2021-11-23,5594
2021-09-29,20741347,2021-11-24,5755
2021-09-30,20913918,2021-11-25,6144
2021-10-01,21057527,2021-11-26,5501
2021-10-02,21188926,2021-11-27,5097
2021-10-03,21307990,2021-11-28,4239
2021-10-04,21414822,2021-11-29,4087
2021-10-05,21523851,2021-11-30,4879
2021-10-06,21628045,2021-12-01,5439
2021-10-07,21723355,2021-12-02,5806
2021-10-08,21831688,2021-12-03,5551
2021-10-09,21942612,2021-12-04,4896
2021-10-10,22047038,2021-12-05,4298
2021-10-11,22189557,2021-12-06,4262
2021-10-12,22349774,2021-12-07,4965
2021-10-13,22512460,2021-12-08,5020
2021-10-14,22683893,2021-12-09,5446
2021-10-15,22822406,2021-12-10,5058
2021-10-16,22940700,2021-12-11,4626
2021-10-17,23063721,2021-12-12,3490
2021-10-18,23238748,2021-12-13,3504
2021-10-19,23362312,2021-12-14,4097
2021-10-20,23583251,2021-12-15,3900
2021-10-21,23777933,2021-12-16,4262
2021-10-22,23898124,2021-12-17,4362
2021-10-23,23999020,2021-12-18,4083
2021-10-24,24111285,2021-12-19,3108
2021-10-25,24258219,2021-12-20,2589
2021-10-26,24400234,2021-12-21,3140
2021-10-27,24528904,2021-12-22,3519
2021-10-28,24649893,2021-12-23,3510
2021-10-29,24734490,2021-12-24,3528
2021-10-30,24786487,2021-12-25,3160
2021-10-31,24830597,2021-12-26,2778
2021-11-01,24889072,2021-12-27,2757
2021-11-02,24948289,2021-12-28,2897
2021-11-03,24993516,2021-12-29,3683
2021-11-04,25013227,2021-12-30,3997
2021-11-05,25045273,2021-12-31,3573
2021-11-06,25059351,2022-01-01,3386
2021-11-07,25074225,2022-01-02,2882
2021-11-08,25120218,2022-01-03,2690
2021-11-09,25152172,2022-01-04,2842
2021-11-10,25192315,2022-01-05,3270
2021-11-11,25237773,2022-01-06,3543
2021-11-12,25272912,2022-01-07,3381
2021-11-13,25289619,2022-01-08,3251
2021-11-14,25301224,2022-01-09,2888
2021-11-15,25329020,2022-01-10,2641
2021-11-16,25355962,2022-01-11,3175
2021-11-17,25377544,2022-01-12,3198
2021-11-18,25399394,2022-01-13,3684
2021-11-19,25417421,2022-01-14,3346
2021-11-20,25424196,2022-01-15,3074
2021-11-21,25429514,2022-01-16,3010
2021-11-22,25442063,2022-01-17,2342
2021-11-23,25453261,2022-01-18,3245
2021-11-24,25462407,2022-01-19,3229
2021-11-25,25468878,2022-01-20,3764
2021-11-26,25475987,2022-01-21,4046
2021-11-27,25481637,2022-01-22,4116
2021-11-28,25485475,2022-01-23,3856
2021-11-29,25492754,2022-01-24,3214
2021-11-30,25501979,2022-01-25,4066
2021-12-01,25510653,2022-01-26,4744
2021-12-02,25520151,2022-01-27,5439
2021-12-03,25527458,2022-01-28,5522
2021-12-04,25532321,2022-01-29,5139
2021-12-05,25535753,2022-01-30,4915
2021-12-06,25542793,2022-01-31,4774
2021-12-07,25550118,2022-02-01,5566
2021-12-08,25557092,2022-02-02,5736
2021-12-09,25565512,2022-02-03,5720
2021-12-10,25573030,2022-02-04,7234
2021-12-11,25575939,2022-02-05,9117
2021-12-12,25578499,2022-02-06,10089
2021-12-13,25584085,2022-02-07,11034
2021-12-14,25589754,2022-02-08,13944
2021-12-15,25595610,2022-02-09,17134
2021-12-16,25602300,2022-02-10,19090
2021-12-17,25607489,2022-02-11,20939
2021-12-18,25609887,2022-02-12,22802
2021-12-19,25612165,2022-02-13,21072
2021-12-20,25616938,2022-02-14,21315
2021-12-21,25621738,2022-02-15,22133
2021-12-22,25626779,2022-02-16,27831
2021-12-23,25632436,2022-02-17,26701
2021-12-24,25636634,2022-02-18,27808
2021-12-25,25638075,2022-02-19,28825
2021-12-26,25639641,2022-02-20,26832
2021-12-27,25645120,2022-02-21,25099
2021-12-28,25650233,2022-02-22,27179
2021-12-29,25655537,2022-02-23,31199
2021-12-30,25660671,2022-02-24,32070
2021-12-31,25665445,2022-02-25,30644
2022-01-01,25666356,2022-02-26,27299
