Date,Vaccination (M),Predicted Cases,Actual Cases,Absolute Error,Percentage Error (%)
2022-02-01,25.746919,28654.29,5566,23088.29,414.80937836866696
2022-02-02,25.747427,28654.29,5736,22918.29,399.55177824267787
2022-02-03,25.750267,28654.29,5720,22934.29,400.9491258741259
2022-02-04,25.752194,28654.29,7234,21420.29,296.1057506220625
2022-02-05,25.753099,28654.29,9117,19537.29,214.29516288252714
2022-02-06,25.75395,28654.29,10089,18565.29,184.01516503122212
2022-02-07,25.756415,28654.29,11034,17620.29,159.69086460032628
2022-02-08,25.758125,28654.29,13944,14710.29,105.49548192771086
2022-02-09,25.760437,28654.29,17134,11520.29,67.23643048908603
2022-02-10,25.762488,28654.29,19090,9564.29,50.101047668936616
2022-02-11,25.764324,28654.29,20939,7715.290000000001,36.84650651893596
2022-02-12,25.76521,28654.29,22802,5852.290000000001,25.665687220419265
2022-02-13,25.766064,28654.29,21072,7582.290000000001,35.982773348519366
2022-02-14,25.767844,28654.29,21315,7339.290000000001,34.43251231527094
2022-02-15,25.769841,28654.29,22133,6521.290000000001,29.464103375050833
2022-02-16,25.771761,28654.29,27831,823.2900000000009,2.958176134526251
2022-02-17,25.773629,28654.29,26701,1953.2900000000009,7.315418898168612
2022-02-18,25.775427,28654.29,27808,846.2900000000009,3.043332853855009
2022-02-19,25.776188,28654.29,28825,170.70999999999913,0.5922289679097975
2022-02-20,25.77676,28654.29,26832,1822.2900000000009,6.79148032200358
2022-02-21,25.777986,28654.29,25099,3555.290000000001,14.165066337304278
2022-02-22,25.778743,28654.29,27179,1475.2900000000009,5.428051068839916
2022-02-23,25.779403,28654.29,31199,2544.709999999999,8.156383217410813
2022-02-24,25.780547,28654.29,32070,3415.709999999999,10.650795135640784
2022-02-25,25.781722,28654.29,30644,1989.7099999999991,6.492983944654742
2022-02-26,25.782659,28654.29,27299,1355.2900000000009,4.964614088428151
