date,cases_new,cases_active,deaths_new,admitted_covid,hosp_covid,icu_covid,vent_covid,rtk_ag,pcr,daily_partial,daily_full,daily_booster,cumul_partial,cumul_full,cumul_booster,cases_new_lag7,cases_new_lag14,cases_active_lag7,cases_active_lag14,admitted_covid_lag7,admitted_covid_lag14,hosp_covid_lag7,hosp_covid_lag14,icu_covid_lag7,icu_covid_lag14,vent_covid_lag7,vent_covid_lag14,rtk_ag_lag7,rtk_ag_lag14,pcr_lag7,pcr_lag14,daily_partial_lag7,daily_partial_lag14,daily_full_lag7,daily_full_lag14,daily_booster_lag7,daily_booster_lag14,cumul_partial_lag7,cumul_partial_lag14,cumul_full_lag7,cumul_full_lag14,cumul_booster_lag7,cumul_booster_lag14
2021-07-15,13215,108370,110.0,1626.0,9606.0,1206.0,716.0,77701,74255,317950.0,161424.0,0.0,9260949.0,4269859.0,0.0,8868.0,6988.0,77276.0,65454.0,1424.0,1385.0,8171.0,7127.0,1289.0,1204.0,711.0,619.0,46348.0,43219.0,60158.0,54811.0,230116.0,183763.0,160734.0,86646.0,0.0,0.0,7471568.0,6148466.0,3259422.0,2429925.0,0.0,0.0
2021-07-16,12541,114054,115.0,1489.0,10000.0,1270.0,709.0,68659,75090,284002.0,134328.0,0.0,9544952.0,4404187.0,0.0,9180.0,6982.0,80666.0,66085.0,1467.0,1384.0,8375.0,7366.0,1311.0,1180.0,720.0,626.0,50294.0,40860.0,64077.0,55642.0,220825.0,170265.0,129741.0,70768.0,0.0,0.0,7692393.0,6318731.0,3389163.0,2500693.0,0.0,0.0
2021-07-17,12528,119815,138.0,1768.0,10080.0,1312.0,729.0,59602,75689,264820.0,132945.0,0.0,9809772.0,4537132.0,0.0,9353.0,6658.0,84022.0,66959.0,1442.0,1376.0,8379.0,7509.0,1310.0,1163.0,711.0,642.0,46869.0,30817.0,55962.0,55023.0,219838.0,144843.0,116870.0,79443.0,0.0,0.0,7912231.0,6463574.0,3506033.0,2580136.0,0.0,0.0
2021-07-18,10710,124594,153.0,1719.0,10378.0,1317.0,734.0,50242,59769,252620.0,104252.0,0.0,10062392.0,4641384.0,0.0,9105.0,6045.0,87843.0,67670.0,1579.0,1259.0,8709.0,7759.0,1332.0,1222.0,720.0,643.0,39886.0,26064.0,55263.0,42657.0,194841.0,135131.0,103497.0,80891.0,0.0,0.0,8107072.0,6598705.0,3609530.0,2661027.0,0.0,0.0
2021-07-19,10972,128998,129.0,1620.0,11375.0,1330.0,737.0,73269,60676,288969.0,154686.0,0.0,10351361.0,4796070.0,0.0,8574.0,6387.0,91273.0,69448.0,1438.0,1244.0,8857.0,7802.0,1391.0,1228.0,739.0,652.0,63357.0,44941.0,55320.0,41819.0,272047.0,206650.0,163157.0,121573.0,0.0,0.0,8379119.0,6805355.0,3772687.0,2782600.0,0.0,0.0
2021-07-20,12366,133704,93.0,1658.0,10997.0,1339.0,733.0,35951,60679,208644.0,103553.0,0.0,10560005.0,4899623.0,0.0,11079.0,7654.0,96237.0,72202.0,1521.0,1417.0,8975.0,7971.0,1416.0,1266.0,780.0,654.0,71658.0,40048.0,66706.0,52956.0,268448.0,217165.0,171540.0,139385.0,0.0,0.0,8647567.0,7022520.0,3944227.0,2921985.0,0.0,0.0
2021-07-21,11985,137588,199.0,1737.0,11255.0,1332.0,742.0,75243,62050,289267.0,170709.0,0.0,10849272.0,5070332.0,0.0,11618.0,7097.0,101360.0,74345.0,1761.0,1406.0,9320.0,8123.0,1253.0,1288.0,698.0,701.0,71575.0,42534.0,70069.0,59879.0,295432.0,218932.0,164208.0,176703.0,0.0,0.0,8942999.0,7241452.0,4108435.0,3098688.0,0.0,0.0
2021-07-22,13034,142052,134.0,1873.0,11286.0,1373.0,755.0,78947,76042,343580.0,176984.0,0.0,11192852.0,5247316.0,0.0,13215.0,8868.0,108370.0,77276.0,1626.0,1424.0,9606.0,8171.0,1206.0,1289.0,716.0,711.0,77701.0,46348.0,74255.0,60158.0,317950.0,230116.0,161424.0,160734.0,0.0,0.0,9260949.0,7471568.0,4269859.0,3259422.0,0.0,0.0
2021-07-23,15573,147387,144.0,2071.0,11398.0,1356.0,739.0,75750,80693,314845.0,164712.0,0.0,11507697.0,5412028.0,0.0,12541.0,9180.0,114054.0,80666.0,1489.0,1467.0,10000.0,8375.0,1270.0,1311.0,709.0,720.0,68659.0,50294.0,75090.0,64077.0,284002.0,220825.0,134328.0,129741.0,0.0,0.0,9544952.0,7692393.0,4404187.0,3389163.0,0.0,0.0
2021-07-24,15902,153634,184.0,1897.0,11783.0,1399.0,800.0,66923,71071,296130.0,137719.0,0.0,11803827.0,5549747.0,0.0,12528.0,9353.0,119815.0,84022.0,1768.0,1442.0,10080.0,8379.0,1312.0,1310.0,729.0,711.0,59602.0,46869.0,75689.0,55962.0,264820.0,219838.0,132945.0,116870.0,0.0,0.0,9809772.0,7912231.0,4537132.0,3506033.0,0.0,0.0
