date,deaths_new,cases_new,cases_active,icu,icu_vent,hosp,hosp_new,rtk-ag,pcr,daily_partial,daily_full,daily_booster,cumul_full,cases_new_lag7,cases_new_lag14,icu_lag7,cumul_full_lag14,deaths_new_7d_avg,cases_new_7d_avg,hosp_new_7d_avg,daily_full_7d_avg
2021-07-15,110,13215,108370,1206,716,9606,1626,77701,74255,317950,161424,0,4269859,,,,,110.0,13215.0,1626.0,161424.0
2021-07-16,115,12541,114054,1270,709,10000,1489,68659,75090,284002,134328,0,4404187,,,,,112.5,12878.0,1557.5,147876.0
2021-07-17,138,12528,119815,1312,729,10080,1768,59602,75689,264820,132945,0,4537132,,,,,121.0,12761.333333333334,1627.6666666666667,142899.0
2021-07-18,153,10710,124594,1317,734,10378,1719,50242,59769,252620,104252,0,4641384,,,,,129.0,12248.5,1650.5,133237.25
2021-07-19,129,10972,128998,1330,737,11375,1620,73269,60676,288969,154686,0,4796070,,,,,129.0,11993.2,1644.4,137527.0
2021-07-20,93,12366,133704,1339,733,10997,1658,35951,60679,208644,103553,0,4899623,,,,,123.0,12055.333333333334,1646.6666666666667,131864.66666666666
2021-07-21,199,11985,137588,1332,742,11255,1737,75243,62050,289267,170709,0,5070332,,,,,133.85714285714286,12045.285714285714,1659.5714285714287,137413.85714285713
2021-07-22,134,13034,142052,1373,755,11286,1873,78947,76042,343580,176984,0,5247316,13215.0,,1206.0,,137.28571428571428,12019.42857142857,1694.857142857143,139636.7142857143
2021-07-23,144,15573,147387,1356,739,11398,2071,75750,80693,314845,164712,0,5412028,12541.0,,1270.0,,141.42857142857142,12452.57142857143,1778.0,143977.2857142857
2021-07-24,184,15902,153634,1399,800,11783,1897,66923,71071,296130,137719,0,5549747,12528.0,,1312.0,,148.0,12934.57142857143,1796.4285714285713,144659.2857142857
2021-07-25,92,17045,160904,1438,801,12022,1982,52772,67047,292629,125179,0,5674926,10710.0,,1317.0,,139.28571428571428,13839.57142857143,1834.0,147648.85714285713
2021-07-26,207,14516,165842,1354,786,12247,1793,91232,57971,343007,195808,0,5870734,10972.0,,1330.0,,150.42857142857142,14345.857142857143,1858.7142857142858,153523.42857142858
