date,cases_new,deaths_new,cases_new_lag7,cases_new_lag14,cases_new_7d_avg
2021-09-10,21176,341.0,19378.0,22070.0,19366.85714285714
2021-10-07,9890,132.0,12735.0,13754.0,9718.857142857143
2021-12-30,3997,34.0,3510.0,4262.0,3257.1428571428573
2021-11-16,5413,40.0,5403.0,5071.0,5801.428571428572
2021-10-28,6377,95.0,6210.0,8084.0,5879.571428571428
2021-10-20,5516,76.0,7950.0,9380.0,6550.428571428572
2021-12-28,2897,23.0,3140.0,4097.0,3164.1428571428573
2021-12-29,3683,36.0,3519.0,3900.0,3187.5714285714284
2021-10-26,5726,84.0,5745.0,7276.0,5765.428571428572
2021-08-06,20889,160.0,16840.0,15573.0,18444.14285714286
2022-01-07,3381,16.0,3573.0,3528.0,3142.0
2021-11-19,6355,45.0,6517.0,4922.0,5792.857142857143
2021-08-11,20780,211.0,19819.0,17405.0,19633.85714285714
2021-09-26,13104,278.0,14954.0,19198.0,14343.57142857143
2021-12-21,3140,57.0,4097.0,4965.0,3634.8571428571427
2021-12-07,4965,66.0,4879.0,5594.0,5031.0
2021-08-15,20546,282.0,18688.0,17150.0,20337.0
2021-10-09,8743,74.0,10915.0,13899.0,9103.142857142857
2021-12-24,3528,25.0,4362.0,5058.0,3353.8571428571427
2021-12-10,5058,44.0,5551.0,5501.0,4849.285714285715
2021-12-17,4362,18.0,5058.0,5551.0,4034.4285714285716
2021-12-31,3573,25.0,3528.0,4362.0,3263.5714285714284
2021-09-30,12735,192.0,13754.0,18815.0,12716.714285714286
2021-09-21,15759,334.0,15669.0,18547.0,16642.0
2021-11-13,5809,55.0,4701.0,5854.0,5597.285714285715
2021-09-17,17577,387.0,21176.0,19378.0,18053.85714285714
2022-01-12,3198,15.0,3270.0,3683.0,3153.8571428571427
2021-09-25,13899,228.0,15549.0,19550.0,14607.857142857143
2021-09-15,19495,422.0,19733.0,18762.0,18638.285714285714
