date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat,daily_partial,daily_full,daily_booster,daily_booster2,daily,daily_partial_adol,daily_full_adol,daily_booster_adol,daily_booster2_adol,daily_partial_child,daily_full_child,daily_booster_child,daily_booster2_child,cumul_partial,cumul_full,cumul_booster,cumul_booster2,cumul,cumul_partial_adol,cumul_full_adol,cumul_booster_adol,cumul_booster2_adol,cumul_partial_child,cumul_full_child,cumul_booster_child,cumul_booster2_child,pfizer1,pfizer2,pfizer3,pfizer4,sinovac1,sinovac2,sinovac3,sinovac4,astra1,astra2,astra3,astra4,sinopharm1,sinopharm2,sinopharm3,sinopharm4,cansino,cansino3,cansino4,pending1,pending2,pending3,pending4,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace
12/1/2022,15,6,19,1,5,0,13,1,2,2100,3471,255520,252,261343,786,1418,239,0,12,7,7,0,26063367,25702628,8589582,19322,60172153,2719663,2643666,3123,15,17548,12564,160,0,1698,2685,195419,186,353,497,12310,25,22,19,47667,39,27,76,33,0,190,84,2,0,4,7,0,3198,303,3200,39902,164,707,27,2098,366,492,168,2151,368,171,321,168,769,690,399,293,241,96,31,,,,,,,
11/9/2021,592,88,213,49,124,50,39,0,25,96680,190306,46,0,287032,20507,680,0,0,23,34,0,0,21954257,17558727,86,0,39435303,124594,30857,0,0,1409,823,0,0,76610,75912,44,0,18708,87847,2,0,1353,18925,0,0,0,0,0,0,7588,0,0,9,34,0,0,19550,7,21771,239354,2144,8186,4064,7300,0,3009,1650,12772,1797,1171,1838,1650,4695,3888,2554,1635,1150,463,184,,,,,,,
1/9/2021,278,65,268,61,164,55,49,0,3,202131,229614,4,0,431749,1942,666,0,0,23,28,0,0,20465634,15569929,4,0,36007815,52866,24053,0,0,1142,559,0,0,157288,107017,1,0,32097,98254,2,0,12348,21553,0,0,0,0,0,0,2750,0,0,398,40,1,0,18762,5,21073,265279,2107,8298,4977,5487,0,2764,1491,12434,1658,1084,1680,1491,4651,3759,2375,1649,1044,451,163,,,,,,,
11/10/2021,93,16,81,17,31,8,42,0,4,54234,142519,42,0,196795,40201,51175,0,0,160,376,0,0,25209338,22189557,1316,0,47242241,2287021,300100,0,0,14007,2895,0,0,50913,89381,40,0,3032,12012,2,0,87,39131,0,0,201,104,0,0,1862,0,0,1,29,0,0,6709,6,10833,112382,282,1952,669,4087,1,1180,493,4087,912,467,713,493,1314,1273,839,661,523,284,105,,,,,,,
5/8/2021,164,22,313,64,205,90,18,0,3,236184,303187,0,0,539371,715,523,0,0,22,4,0,0,15496827,8180050,0,0,23676850,25626,7793,0,0,482,189,0,0,165051,99304,0,0,66711,190154,0,0,4313,13706,0,0,0,0,0,0,1,0,0,109,22,0,0,20596,34,13893,217063,3084,12260,6610,1726,0,2601,1388,14699,1350,1070,1531,1388,5690,4401,2829,1779,905,344,101,,,,,,,
10/9/2021,341,102,214,48,131,42,41,0,9,120055,198203,4,0,318262,19449,811,0,0,19,18,0,0,21849989,17368421,40,0,39148271,104049,30177,0,0,1382,789,0,0,97160,68925,2,0,19566,100614,2,0,3153,22285,0,0,0,0,0,0,6353,0,0,176,26,0,0,21176,4,21476,242167,2162,8436,4775,7965,0,3345,1814,13607,1986,1362,1983,1814,4997,4141,2640,1829,1197,581,208,,,,,,,
22/12/2021,30,7,19,4,7,0,10,2,2,3311,5041,173522,259,182133,1370,1956,33,0,11,4,4,0,26010521,25626779,5098360,13040,56549674,2698262,2614744,977,4,17281,12439,58,0,2704,3887,149424,201,528,740,20742,50,5,30,3254,7,74,100,47,0,283,26,0,0,1,29,1,3519,100,5118,49397,79,819,28,2503,169,515,163,2369,444,212,303,163,802,774,442,351,265,149,30,,,,,,,
9/1/2022,23,4,17,6,6,1,8,2,3,985,1670,110114,285,113054,328,523,115,0,31,5,4,0,26056349,25692319,7858792,18341,59423545,2717124,2639511,2545,13,17480,12547,130,0,685,1128,79059,236,266,239,7328,21,19,10,23684,28,15,39,23,0,254,1,0,0,0,19,0,2888,323,2714,39933,52,557,15,1970,346,430,160,1945,343,155,275,160,647,609,378,311,241,84,18,,,,,,,
21/11/2021,24,6,46,12,17,1,28,0,3,2762,5318,31150,72,39302,995,2262,9,0,15,32,0,0,25881344,25429514,1585594,5831,52711498,2654267,2546864,311,3,16705,11918,4,0,1821,3556,29627,62,624,1364,1467,10,210,186,12,0,93,145,42,0,66,1,0,14,1,1,0,4854,12,5525,68793,114,1143,53,3569,89,779,189,3260,604,314,465,189,1063,1065,621,511,378,158,68,,,,,,,
21/8/2021,223,35,248,60,155,64,29,0,4,175777,326315,0,0,502092,886,795,0,0,35,28,0,0,18596977,12986184,0,0,31583093,38752,17953,0,0,874,374,0,0,76756,158128,0,0,89247,148050,0,0,9766,20067,0,0,0,0,0,0,10,0,0,8,60,0,0,22262,40,18576,260884,2331,11436,6900,3926,0,3154,1685,14933,1714,1269,1885,1685,5866,4397,2816,1854,1078,470,166,,,,,,,
19/12/2021,19,4,34,5,13,1,20,0,2,1346,2278,77609,205,81438,466,646,23,0,4,2,3,0,25999831,25612165,4618958,11852,56044455,2694242,2609249,879,4,17250,12420,46,0,1091,1586,63018,154,241,325,12004,35,4,28,2543,14,10,41,39,0,296,1,0,0,2,4,2,3108,37,3701,53484,88,688,22,2255,143,451,105,2152,390,182,269,105,746,696,437,273,249,119,22,,,,,,,
5/1/2022,18,3,27,3,10,1,14,2,2,2848,4362,243490,250,250950,1417,1724,182,1,14,5,5,0,26047476,25680741,7157637,16963,58701367,2713496,2635550,1931,13,17385,12513,118,0,2407,3304,206799,187,382,669,11921,40,10,47,24699,23,49,69,45,0,271,16,0,0,2,10,0,3270,252,3195,39745,61,705,16,2237,312,457,158,2197,445,174,283,158,723,726,404,344,273,137,35,,,,,,,
16/7/2021,115,24,214,41,153,58,3,0,3,284002,134328,0,0,418330,728,156,0,0,4,1,0,0,9544952,4404187,0,0,13949124,10461,2526,0,0,204,126,0,0,95937,32111,0,0,165270,102129,0,0,22620,65,0,0,0,0,0,0,1,0,0,175,22,0,0,12541,16,6742,114054,2785,10133,1869,539,0,1467,715,9043,801,627,840,715,3689,2757,1588,1009,559,187,55,,,,,,,
